year	state	acres	yield
1866	Alabama	1050000	9
1866	Arkansas	280000	18
1866	California	42000	28
1866	Connecticut	57000	34
1866	Delaware	2e+05	23
1866	Florida	125000	9
1866	Georgia	1770000	6
1866	Illinois	4925000	29
1866	Indiana	1950000	36.5
1866	Iowa	1810000	32
1866	Kansas	217000	28
1866	Kentucky	1940000	26.5
1866	Louisiana	260000	11
1866	Maine	53000	30
1866	Maryland	605000	25
1866	Massachusetts	70000	34
1866	Michigan	480000	32
1866	Minnesota	120000	23
1866	Mississippi	8e+05	9.5
1866	Missouri	1520000	26
1866	Nebraska	72000	29.5
1866	NewHampshire	41000	35
1866	NewJersey	325000	31.5
1866	NewYork	720000	29
1866	NorthCarolina	1675000	9.5
1866	Ohio	2500000	37
1866	Pennsylvania	1120000	35
1866	Rhodeisland	12000	31.5
1866	SouthCarolina	950000	6.5
1866	Tennessee	1800000	21
1866	Texas	670000	20
1866	Vermont	58000	34
1866	Virginia	1e+06	16.2
1866	WestVirginia	3e+05	26
1866	Wisconsin	5e+05	28.5
1867	Alabama	1400000	13
1867	Arkansas	540000	21.5
1867	California	45000	27
1867	Connecticut	58000	34
1867	Delaware	2e+05	14
1867	Florida	145000	11.5
1867	Georgia	1980000	12
1867	Illinois	5075000	27
1867	Indiana	1975000	29
1867	Iowa	1810000	41
1867	Kansas	260000	38.5
1867	Kentucky	2030000	21
1867	Louisiana	330000	15.5
1867	Maine	50000	31.5
1867	Maryland	6e+05	24
1867	Massachusetts	66000	35.5
1867	Michigan	5e+05	36
1867	Minnesota	130000	35
1867	Mississippi	1020000	16
1867	Missouri	1750000	32
1867	Nebraska	90000	38
1867	NewHampshire	40000	40
1867	NewJersey	325000	33
1867	NewYork	665000	33.5
1867	NorthCarolina	1725000	11.5
1867	Ohio	2400000	30
1867	Pennsylvania	1140000	33
1867	Rhodeisland	12000	30.5
1867	SouthCarolina	920000	11
1867	Tennessee	2090000	23.5
1867	Texas	750000	25
1867	Vermont	55000	39
1867	Virginia	1100000	17
1867	WestVirginia	330000	22.5
1867	Wisconsin	510000	37.5
1868	Alabama	1420000	12.5
1868	Arkansas	780000	20
1868	California	47000	30
1868	Connecticut	55000	34.5
1868	Delaware	205000	21
1868	Florida	180000	10.5
1868	Georgia	2220000	10
1868	Illinois	5650000	34.2
1868	Indiana	2075000	34
1868	Iowa	1890000	40.5
1868	Kansas	340000	20
1868	Kentucky	2260000	28
1868	Louisiana	535000	17
1868	Maine	47000	31.5
1868	Maryland	590000	23
1868	Massachusetts	60000	36
1868	Michigan	560000	33
1868	Minnesota	150000	37
1868	Mississippi	1240000	16
1868	Missouri	1910000	26.5
1868	Nebraska	115000	28
1868	NewHampshire	39000	39
1868	NewJersey	315000	33
1868	NewYork	680000	32.5
1868	NorthCarolina	1900000	13.5
1868	Ohio	2350000	35
1868	Pennsylvania	1210000	35
1868	Rhodeisland	11000	33
1868	SouthCarolina	1020000	11
1868	Tennessee	2220000	23
1868	Texas	880000	22.5
1868	Vermont	57000	40.5
1868	Virginia	1190000	18.5
1868	WestVirginia	350000	25
1868	Wisconsin	565000	36
1869	Alabama	1430000	12
1869	Arkansas	730000	18.5
1869	California	47000	28
1869	Connecticut	55000	29
1869	Delaware	205000	15
1869	Florida	205000	11
1869	Georgia	2110000	8.4
1869	Illinois	5600000	23.5
1869	Indiana	2050000	25.5
1869	Iowa	2080000	33.5
1869	Kansas	445000	38.5
1869	Kentucky	2370000	21.2
1869	Louisiana	510000	15.5
1869	Maine	44000	24
1869	Maryland	595000	20
1869	Massachusetts	53000	33.5
1869	Michigan	540000	28
1869	Minnesota	156000	29
1869	Mississippi	1210000	13.2
1869	Missouri	2160000	30.6
1869	Nebraska	125000	38.5
1869	NewHampshire	39000	30.5
1869	NewJersey	330000	28
1869	NewYork	690000	27
1869	NorthCarolina	1900000	10
1869	Ohio	2450000	30
1869	Oregon	3000	25
1869	Pennsylvania	1230000	30.5
1869	Rhodeisland	11000	29.5
1869	SouthCarolina	1e+06	7.6
1869	Tennessee	2200000	19
1869	Texas	940000	25
1869	Vermont	57000	34
1869	Virginia	1310000	13.5
1869	WestVirginia	378000	21.5
1869	Wisconsin	575000	26.5
1870	Alabama	1330000	13.5
1870	Arkansas	770000	21
1870	California	47000	25
1870	Connecticut	54000	32.5
1870	Delaware	205000	18.5
1870	Florida	225000	10.5
1870	Georgia	2060000	12
1870	Illinois	6350000	40
1870	Indiana	2325000	39.5
1870	Iowa	2550000	40
1870	Kansas	570000	28
1870	Kentucky	2460000	28
1870	Louisiana	530000	16.5
1870	Maine	43000	35
1870	Maryland	575000	22
1870	Massachusetts	51000	31
1870	Michigan	570000	39
1870	Minnesota	190000	31.5
1870	Mississippi	1180000	14
1870	Missouri	2590000	34
1870	Nebraska	155000	33.5
1870	NewHampshire	39000	37
1870	NewJersey	340000	33.5
1870	NewYork	710000	35
1870	NorthCarolina	1810000	14.5
1870	Ohio	2600000	39
1870	Oregon	3000	23
1870	Pennsylvania	1260000	36
1870	Rhodeisland	11000	32.5
1870	SouthCarolina	970000	11
1870	Tennessee	2290000	24
1870	Texas	1e+06	21
1870	Vermont	60000	39.5
1870	Virginia	1390000	18.5
1870	WestVirginia	415000	26
1870	Wisconsin	660000	38
1871	Alabama	1480000	11
1871	Arkansas	930000	20
1871	California	47000	21.5
1871	Connecticut	52000	35
1871	Delaware	210000	22
1871	Florida	250000	8.5
1871	Georgia	2160000	8.5
1871	Illinois	6730000	33
1871	Indiana	2500000	35.5
1871	Iowa	3060000	43.5
1871	Kansas	860000	36.5
1871	Kentucky	2530000	23.5
1871	Louisiana	6e+05	12.5
1871	Maine	40000	30.5
1871	Maryland	585000	23.5
1871	Massachusetts	49000	37
1871	Michigan	6e+05	33.5
1871	Minnesota	225000	35.5
1871	Mississippi	1270000	12.5
1871	Missouri	2980000	35.5
1871	Nebraska	225000	38
1871	NewHampshire	39000	40
1871	NewJersey	345000	32
1871	NewYork	710000	33
1871	NorthCarolina	1990000	11.5
1871	Ohio	2850000	39
1871	Oregon	4000	25
1871	Pennsylvania	1270000	35
1871	Rhodeisland	11000	31.5
1871	SouthCarolina	1090000	10
1871	Tennessee	2450000	21
1871	Texas	1160000	16
1871	Vermont	60000	35.5
1871	Virginia	1470000	18
1871	WestVirginia	445000	23
1871	Wisconsin	725000	37
1872	Alabama	1520000	13.5
1872	Arkansas	930000	17.5
1872	California	43000	29
1872	Connecticut	48000	37
1872	Delaware	210000	18
1872	Florida	255000	9
1872	Georgia	2140000	11
1872	Illinois	6860000	39.8
1872	Indiana	2600000	38.5
1872	Iowa	3360000	41
1872	Kansas	1160000	36
1872	Kentucky	2580000	27.5
1872	Louisiana	630000	17
1872	Maine	37000	34
1872	Maryland	6e+05	22
1872	Massachusetts	47000	37
1872	Michigan	680000	36
1872	Minnesota	245000	33.5
1872	Mississippi	1250000	16.5
1872	Missouri	3340000	31.5
1872	Nebraska	295000	37
1872	NewHampshire	39000	39
1872	NewJersey	355000	34
1872	NewYork	7e+05	35
1872	NorthCarolina	1950000	14
1872	Ohio	2800000	40
1872	Oregon	4000	26.5
1872	Pennsylvania	1300000	38
1872	Rhodeisland	11000	31.5
1872	SouthCarolina	1110000	10.5
1872	Tennessee	2500000	22.5
1872	Texas	1250000	23
1872	Vermont	60000	41
1872	Virginia	1480000	18
1872	WestVirginia	460000	24.5
1872	Wisconsin	735000	35
1873	Alabama	1560000	12.5
1873	Arkansas	950000	18.5
1873	California	38000	31
1873	Connecticut	47000	30
1873	Delaware	195000	16
1873	Florida	275000	10
1873	Georgia	2050000	11
1873	Illinois	6850000	21
1873	Indiana	2550000	30
1873	Iowa	3600000	32.5
1873	Kansas	1371000	23.5
1873	Kentucky	2560000	25.5
1873	Louisiana	660000	15
1873	Maine	35000	27.5
1873	Maryland	630000	22.5
1873	Massachusetts	44000	35
1873	Michigan	680000	31
1873	Minnesota	240000	31
1873	Mississippi	1230000	12.5
1873	Missouri	3540000	23.5
1873	Nebraska	370000	22
1873	NewHampshire	37000	38
1873	NewJersey	335000	32
1873	NewYork	685000	31
1873	NorthCarolina	1870000	13
1873	Ohio	2750000	35
1873	Oregon	4000	26
1873	Pennsylvania	1240000	32.5
1873	Rhodeisland	10000	30.5
1873	SouthCarolina	1020000	9.5
1873	Tennessee	2550000	20.5
1873	Texas	1350000	16
1873	Vermont	58000	37.5
1873	Virginia	1480000	18.5
1873	WestVirginia	465000	23.5
1873	Wisconsin	755000	33
1874	Alabama	1750000	12.5
1874	Arkansas	1030000	12.5
1874	California	38000	33
1874	Connecticut	48000	35.5
1874	Delaware	195000	18
1874	Florida	280000	10
1874	Georgia	2220000	11
1874	Illinois	7425000	24
1874	Indiana	2850000	34
1874	Iowa	4150000	34
1874	Kansas	1740000	10.5
1874	Kentucky	2530000	22.5
1874	Louisiana	615000	13
1874	Maine	31000	25
1874	Maryland	640000	21
1874	Massachusetts	42000	32
1874	Michigan	740000	28
1874	Minnesota	295000	29.5
1874	Mississippi	1330000	13
1874	Missouri	4070000	16
1874	Nebraska	380000	15
1874	NewHampshire	35000	37
1874	NewJersey	335000	25.5
1874	NewYork	685000	31.5
1874	NorthCarolina	1960000	13
1874	Ohio	2900000	37
1874	Oregon	4000	25
1874	Pennsylvania	1270000	34
1874	Rhodeisland	11000	33
1874	SouthCarolina	1080000	11
1874	Tennessee	2600000	17.5
1874	Texas	1570000	19
1874	Vermont	56000	36
1874	Virginia	1510000	17.5
1874	WestVirginia	460000	21.5
1874	Wisconsin	765000	32
1875	Alabama	1870000	13
1875	Arkansas	1230000	21
1875	California	51000	25
1875	Connecticut	50000	35.5
1875	Delaware	2e+05	22
1875	Florida	290000	9.5
1875	Georgia	2280000	9
1875	Illinois	8150000	34.3
1875	Indiana	3175000	32
1875	Iowa	4600000	35
1875	Kansas	2206000	34.5
1875	Kentucky	2710000	27
1875	Louisiana	675000	14.5
1875	Maine	28000	31.5
1875	Maryland	630000	25
1875	Massachusetts	38000	36.5
1875	Michigan	790000	36
1875	Minnesota	350000	25
1875	Mississippi	1450000	16.5
1875	Missouri	4760000	36
1875	Nebraska	625000	31
1875	NewHampshire	36000	40.5
1875	NewJersey	340000	34
1875	NewYork	725000	33
1875	NorthCarolina	1990000	13.5
1875	Ohio	3250000	34.5
1875	Oregon	5000	25
1875	Pennsylvania	1310000	38
1875	Rhodeisland	10000	31
1875	SouthCarolina	1130000	9.5
1875	Tennessee	2750000	23.5
1875	Texas	1740000	18
1875	Vermont	57000	37
1875	Virginia	1540000	19.5
1875	WestVirginia	525000	25
1875	Wisconsin	880000	23
1876	Alabama	1950000	13.5
1876	Arkansas	1250000	20
1876	California	53000	26
1876	Connecticut	52000	36.5
1876	Delaware	2e+05	20
1876	Florida	325000	9.5
1876	Georgia	2400000	11
1876	Illinois	8500000	30
1876	Indiana	3500000	35
1876	Iowa	5200000	34
1876	Kansas	2105000	35
1876	Kentucky	2820000	27
1876	Louisiana	665000	15
1876	Maine	28000	31
1876	Maryland	645000	24
1876	Massachusetts	45000	35.5
1876	Michigan	810000	30
1876	Minnesota	350000	26
1876	Mississippi	1450000	13.5
1876	Missouri	4975000	28
1876	Nebraska	780000	32
1876	NewHampshire	35000	40
1876	NewJersey	350000	29.5
1876	NewYork	730000	30
1876	NorthCarolina	2050000	12.5
1876	Ohio	3500000	37.5
1876	Oregon	6000	27
1876	Pennsylvania	1320000	32.5
1876	Rhodeisland	11000	32
1876	SouthCarolina	1170000	10
1876	Tennessee	2775000	23
1876	Texas	2e+06	25
1876	Vermont	57000	38
1876	Virginia	1650000	18
1876	WestVirginia	555000	24
1876	Wisconsin	965000	37.5
1877	Alabama	2010000	12
1877	Arkansas	1240000	20
1877	California	65000	26.5
1877	Connecticut	55000	31.5
1877	Delaware	202000	18
1877	Florida	350000	9
1877	Georgia	2500000	9.5
1877	Illinois	8950000	27
1877	Indiana	3675000	35
1877	Iowa	5800000	33.5
1877	Kansas	2926000	34
1877	Kentucky	2900000	26
1877	Louisiana	7e+05	16
1877	Maine	30000	35
1877	Maryland	660000	22.5
1877	Massachusetts	50000	38
1877	Michigan	890000	31
1877	Minnesota	410000	26.5
1877	Mississippi	1470000	14
1877	Missouri	5025000	29
1877	Nebraska	1130000	34
1877	NewHampshire	36000	41
1877	NewJersey	350000	33
1877	NewYork	760000	33.5
1877	NorthCarolina	2180000	13.5
1877	Ohio	3425000	32.5
1877	Oregon	6000	25
1877	Pennsylvania	1350000	33
1877	Rhodeisland	11000	33
1877	SouthCarolina	1250000	10
1877	Tennessee	2825000	22
1877	Texas	2240000	20.5
1877	Vermont	63000	39
1877	Virginia	1670000	17.5
1877	WestVirginia	570000	21
1877	Wisconsin	1025000	32
1878	Alabama	2100000	13
1878	Arkansas	1240000	19
1878	California	65000	28
1878	Connecticut	56000	36.5
1878	Delaware	202000	18.5
1878	Florida	360000	9.5
1878	Georgia	2570000	10
1878	Illinois	8425000	29
1878	Indiana	3700000	32
1878	Iowa	6100000	40.5
1878	Kansas	2745000	28.5
1878	Kentucky	3020000	20
1878	Louisiana	770000	16.5
1878	Maine	34000	36
1878	Maryland	675000	22.5
1878	Massachusetts	48000	37
1878	Michigan	920000	37
1878	Minnesota	405000	36.5
1878	Mississippi	1550000	14
1878	Missouri	5075000	26
1878	Nebraska	1340000	41
1878	NewHampshire	37000	37.5
1878	NewJersey	355000	32
1878	NewYork	765000	32.5
1878	NorthCarolina	2330000	12
1878	Ohio	3450000	36
1878	Oregon	6000	25
1878	Pennsylvania	1360000	30
1878	Rhodeisland	12000	32
1878	SouthCarolina	1330000	10
1878	Tennessee	2775000	21
1878	Texas	2470000	22.5
1878	Vermont	64000	38
1878	Virginia	1750000	17.5
1878	WestVirginia	570000	24.5
1878	Wisconsin	985000	35.5
1879	Alabama	2056000	12.4
1879	Arkansas	1298000	18.6
1879	California	72000	28
1879	Colorado	23000	19.8
1879	Connecticut	56000	33.7
1879	Delaware	202000	19.3
1879	Florida	360000	8.8
1879	Georgia	2539000	9.1
1879	Illinois	9019000	36.1
1879	Indiana	3678000	31.4
1879	Iowa	6616000	41.6
1879	Kansas	3418000	30.9
1879	Kentucky	3021000	24.1
1879	Louisiana	743000	13.3
1879	Maine	31000	31
1879	Maryland	665000	24
1879	Massachusetts	53000	34.2
1879	Michigan	920000	35.3
1879	Minnesota	439000	33.8
1879	Mississippi	1571000	13.6
1879	Missouri	5588000	36.2
1879	Nebraska	1631000	40.1
