"male"	"female"	"block"	"category"	"count"
"P1"	"P5"	"B1"	"C1"	0
"P1"	"P6"	"B1"	"C1"	2
"P1"	"P7"	"B1"	"C1"	3
"P1"	"P8"	"B1"	"C1"	0
"P2"	"P5"	"B1"	"C1"	1
"P2"	"P6"	"B1"	"C1"	1
"P2"	"P7"	"B1"	"C1"	4
"P2"	"P8"	"B1"	"C1"	1
"P3"	"P5"	"B1"	"C1"	0
"P3"	"P6"	"B1"	"C1"	5
"P3"	"P7"	"B1"	"C1"	0
"P3"	"P8"	"B1"	"C1"	3
"P1"	"P5"	"B1"	"C2"	3
"P1"	"P6"	"B1"	"C2"	3
"P1"	"P7"	"B1"	"C2"	4
"P1"	"P8"	"B1"	"C2"	5
"P2"	"P5"	"B1"	"C2"	4
"P2"	"P6"	"B1"	"C2"	4
"P2"	"P7"	"B1"	"C2"	3
"P2"	"P8"	"B1"	"C2"	4
"P3"	"P5"	"B1"	"C2"	0
"P3"	"P6"	"B1"	"C2"	3
"P3"	"P7"	"B1"	"C2"	3
"P3"	"P8"	"B1"	"C2"	0
"P1"	"P5"	"B1"	"C3"	6
"P1"	"P6"	"B1"	"C3"	5
"P1"	"P7"	"B1"	"C3"	3
"P1"	"P8"	"B1"	"C3"	5
"P2"	"P5"	"B1"	"C3"	4
"P2"	"P6"	"B1"	"C3"	5
"P2"	"P7"	"B1"	"C3"	3
"P2"	"P8"	"B1"	"C3"	5
"P3"	"P5"	"B1"	"C3"	9
"P3"	"P6"	"B1"	"C3"	2
"P3"	"P7"	"B1"	"C3"	6
"P3"	"P8"	"B1"	"C3"	7
"P1"	"P5"	"B2"	"C1"	2
"P1"	"P6"	"B2"	"C1"	0
"P1"	"P7"	"B2"	"C1"	7
"P1"	"P8"	"B2"	"C1"	5
"P2"	"P5"	"B2"	"C1"	2
"P2"	"P6"	"B2"	"C1"	3
"P2"	"P7"	"B2"	"C1"	5
"P2"	"P8"	"B2"	"C1"	1
"P3"	"P5"	"B2"	"C1"	3
"P3"	"P6"	"B2"	"C1"	3
"P3"	"P7"	"B2"	"C1"	2
"P3"	"P8"	"B2"	"C1"	5
"P1"	"P5"	"B2"	"C2"	2
"P1"	"P6"	"B2"	"C2"	3
"P1"	"P7"	"B2"	"C2"	2
"P1"	"P8"	"B2"	"C2"	4
"P2"	"P5"	"B2"	"C2"	2
"P2"	"P6"	"B2"	"C2"	4
"P2"	"P7"	"B2"	"C2"	1
"P2"	"P8"	"B2"	"C2"	2
"P3"	"P5"	"B2"	"C2"	5
"P3"	"P6"	"B2"	"C2"	2
"P3"	"P7"	"B2"	"C2"	5
"P3"	"P8"	"B2"	"C2"	2
"P1"	"P5"	"B2"	"C3"	6
"P1"	"P6"	"B2"	"C3"	7
"P1"	"P7"	"B2"	"C3"	1
"P1"	"P8"	"B2"	"C3"	1
"P2"	"P5"	"B2"	"C3"	6
"P2"	"P6"	"B2"	"C3"	2
"P2"	"P7"	"B2"	"C3"	4
"P2"	"P8"	"B2"	"C3"	6
"P3"	"P5"	"B2"	"C3"	2
"P3"	"P6"	"B2"	"C3"	5
"P3"	"P7"	"B2"	"C3"	3
"P3"	"P8"	"B2"	"C3"	3
"P1"	"P5"	"B3"	"C1"	2
"P1"	"P6"	"B3"	"C1"	4
"P1"	"P7"	"B3"	"C1"	1
"P1"	"P8"	"B3"	"C1"	2
"P2"	"P5"	"B3"	"C1"	1
"P2"	"P6"	"B3"	"C1"	1
"P2"	"P7"	"B3"	"C1"	3
"P2"	"P8"	"B3"	"C1"	8
"P3"	"P5"	"B3"	"C1"	2
"P3"	"P6"	"B3"	"C1"	3
"P3"	"P7"	"B3"	"C1"	1
"P3"	"P8"	"B3"	"C1"	7
"P1"	"P5"	"B3"	"C2"	3
